function,beta,etaL,init,T,iterate_type,kappa_exp,R2,f_at_k10,f_at_k100,f_at_k1000,f_at_k10000
f1_quad2d,0.5,2.9,zero_mom,1000,best,94.7317,0.7446,1.8800413740938507e-300,1.1687880233247217e-56,4.185502690180707e-06,0.1567669393079481
f1_quad2d,0.5,2.9,zero_mom,10000,last,,,0.0,0.0,7.589105641005388e-52,4.542227213960857e-06
f1_quad2d,0.5,2.9,zero_mom,10000,cesaro,1.9864,1.0000,1.6346314402431637e-08,1.5008888678596322e-06,0.0001487514610621279,0.014772431428398094
f1_quad2d,0.5,2.9,zero_mom,10000,pr,4.2092,0.9986,3.5226519208215047e-16,1.5673664565624295e-11,1.7458422290977194e-07,0.0016926882469632109
f1_quad2d,0.5,2.9,zero_mom,10000,suffix,,,0.0,0.0,1.3935543180912867e-51,4.812267048712051e-06
f1_quad2d,0.5,2.9,zero_mom,10000,best,,,0.0,0.0,7.589105641005388e-52,4.542227213960857e-06
f1_quad2d,0.7,0.5,zero_mom,100,last,4.6504,0.6780,4.2736582449445967e-16,0.016391925862548593,0.36052690230778367,0.48397720294925783
f1_quad2d,0.7,0.5,zero_mom,100,cesaro,0.8169,0.8270,0.0019409862125442253,0.12315603021143604,0.4447921486518064,0.6685671339070928
f1_quad2d,0.7,0.5,zero_mom,100,pr,1.4963,0.7474,9.32461169890347e-06,0.06363832035568354,0.40377403658643235,0.4895980664088869
f1_quad2d,0.7,0.5,zero_mom,100,suffix,4.5303,0.6763,1.025176545841968e-15,0.019243248220033433,0.36601020581977617,0.48470416833661417
f1_quad2d,0.7,0.5,zero_mom,100,best,4.6504,0.6780,4.2736582449445967e-16,0.016391925862548593,0.36052690230778367,0.48397720294925783
f1_quad2d,0.7,0.5,zero_mom,1000,last,47.7252,0.6778,1.1252134821189337e-155,3.200965476171748e-16,0.017694713704490536,0.3584882933713255
f1_quad2d,0.7,0.5,zero_mom,1000,cesaro,1.4818,0.9516,1.9760459320898886e-05,0.0018143693610994083,0.11889556666427382,0.42631666555398684
f1_quad2d,0.7,0.5,zero_mom,1000,pr,2.9260,0.9273,9.837168984808977e-10,2.380028397511485e-05,0.06381463549250098,0.40126431382087024
f1_quad2d,0.7,0.5,zero_mom,1000,suffix,47.1268,0.6776,9.457405136915673e-154,5.551743650100052e-16,0.018610549905253237,0.36028687628363354
f1_quad2d,0.7,0.5,zero_mom,1000,best,47.7252,0.6778,1.1252134821189337e-155,3.200965476171748e-16,0.017694713704490536,0.3584882933713255
f1_quad2d,0.7,0.5,zero_mom,10000,last,,,0.0,2.5810182746406695e-153,1.4351661162239251e-15,0.017822790664724288
f1_quad2d,0.7,0.5,zero_mom,10000,cesaro,1.9327,0.9996,1.9796040593920815e-07,1.8176364545327295e-05,0.0018014395022891354,0.11847301897259634
f1_quad2d,0.7,0.5,zero_mom,10000,pr,3.9461,0.9968,9.890384483441274e-14,2.392905577547032e-09,2.570331828664812e-05,0.06384870936530447
f1_quad2d,0.7,0.5,zero_mom,10000,suffix,,,0.0,1.8809630602321223e-152,1.6979188498499663e-15,0.018119867339406986
f1_quad2d,0.7,0.5,zero_mom,10000,best,,,0.0,2.5810182746406695e-153,1.4351661162239251e-15,0.017822790664724288
f1_quad2d,0.7,1.0,zero_mom,100,last,4.8742,0.7587,2.377036142469069e-16,0.0003590115176853089,0.2591736099556948,0.4684540320577097
f1_quad2d,0.7,1.0,zero_mom,100,cesaro,1.0052,0.8630,0.0004852465399970381,0.04250296886724989,0.37055816840351297,0.5284814094045498
f1_quad2d,0.7,1.0,zero_mom,100,pr,2.1054,0.7958,1.4549851298523506e-07,0.010303434435204227,0.3264949421223516,0.4790897520376303
f1_quad2d,0.7,1.0,zero_mom,100,suffix,4.8148,0.7530,3.3864458765536283e-16,0.0005078158499336415,0.2671687127286438,0.46986326960021735
f1_quad2d,0.7,1.0,zero_mom,100,best,4.9017,0.7578,1.92552297232227e-16,0.0003590115176853089,0.2591736099556948,0.4684540320577097
f1_quad2d,0.7,1.0,zero_mom,1000,last,49.0816,0.7617,3.883407590271739e-155,2.6861400923199585e-33,0.0006063770753549721,0.2569471061787839
f1_quad2d,0.7,1.0,zero_mom,1000,cesaro,1.6562,0.9775,4.940114830224721e-06,0.00045359236168426983,0.041915370682833346,0.3625053552609286
