function,beta,etaL,kappa,init,T,iterate_type,fvalue
f1_quad2d,0.5,1.5,10,zero_mom,1000,cesaro,0.00000609890719780829670939561049451
f1_quad2d,0.5,1.5,10,zero_mom,1000,pr,1.21246253464453523020751439893e-10
f1_quad2d,0.5,1.5,10,zero_mom,1000,suffix,1.60130297445497957867594921762e-295
f1_quad2d,0.5,1.5,10,zero_mom,1000,best,5.41884999612680356986204702409e-301
f1_quad2d,0.5,1.5,10,zero_mom,10000,last,2.61901466389742743748742873496e-3010
f1_quad2d,0.5,1.5,10,zero_mom,10000,cesaro,0.0000000610988907219778083296670943956
f1_quad2d,0.5,1.5,10,zero_mom,10000,pr,1.21902151502331339956038913997e-14
f1_quad2d,0.5,1.5,10,zero_mom,10000,suffix,1.91051478527009589375216164663e-2984
f1_quad2d,0.5,1.5,10,zero_mom,10000,best,2.55397466788935678643301029147e-3010
f1_quad2d,0.5,1.5,100,zero_mom,100,last,0.00098775371518579393314793755568
f1_quad2d,0.5,1.5,100,zero_mom,100,cesaro,0.0505590225836533496715292954174
f1_quad2d,0.5,1.5,100,zero_mom,100,pr,0.0150133267821913231300807771769
f1_quad2d,0.5,1.5,100,zero_mom,100,suffix,0.00132204763506296061039431354443
f1_quad2d,0.5,1.5,100,zero_mom,100,best,0.00098775371518579393314793755568
f1_quad2d,0.5,1.5,100,zero_mom,1000,last,2.42421265978245734988447970088e-28
f1_quad2d,0.5,1.5,100,zero_mom,1000,cesaro,0.000559990569980557067150530627164
f1_quad2d,0.5,1.5,100,zero_mom,1000,pr,0.00000230933370181310892634000255208
f1_quad2d,0.5,1.5,100,zero_mom,1000,suffix,6.74377532944813946604728411921e-28
f1_quad2d,0.5,1.5,100,zero_mom,1000,best,2.42421265978245734988447970088e-28
f1_quad2d,0.5,1.5,100,zero_mom,10000,last,1.92216712527251181093751955752e-274
f1_quad2d,0.5,1.5,100,zero_mom,10000,cesaro,0.00000560998905719978058299670593996
f1_quad2d,0.5,1.5,100,zero_mom,10000,pr,2.3218263554078859734817173752e-10
f1_quad2d,0.5,1.5,100,zero_mom,10000,suffix,9.33920807335934628030784924096e-273
f1_quad2d,0.5,1.5,100,zero_mom,10000,best,1.92216712527251181093751955752e-274
f1_quad2d,0.5,1.5,1000,zero_mom,100,last,0.275328947055859343188661540876
f1_quad2d,0.5,1.5,1000,zero_mom,100,cesaro,0.380437207989345092280907263078
f1_quad2d,0.5,1.5,1000,zero_mom,100,pr,0.338369159663918353545293556028
f1_quad2d,0.5,1.5,1000,zero_mom,100,suffix,0.282919963632076023269242100801
f1_quad2d,0.5,1.5,1000,zero_mom,100,best,0.275328947055859343188661540876
f1_quad2d,0.5,1.5,1000,zero_mom,1000,last,0.00121343311729977324583367694729
f1_quad2d,0.5,1.5,1000,zero_mom,1000,cesaro,0.0502031115619256717719133899781
f1_quad2d,0.5,1.5,1000,zero_mom,1000,pr,0.0157525746258876503048145804456
f1_quad2d,0.5,1.5,1000,zero_mom,1000,suffix,0.00132921517836298809754894468714
f1_quad2d,0.5,1.5,1000,zero_mom,1000,best,0.00121343311729977324583367694729
f1_quad2d,0.5,1.5,1000,zero_mom,10000,last,3.35471430882747915076716493553e-27
f1_quad2d,0.5,1.5,1000,zero_mom,10000,cesaro,0.000555999905569907609281855653333
f1_quad2d,0.5,1.5,1000,zero_mom,10000,pr,0.00000245287117813109255850686772925
f1_quad2d,0.5,1.5,1000,zero_mom,10000,suffix,4.55523259648317329007014773902e-27
f1_quad2d,0.5,1.5,1000,zero_mom,10000,best,3.35471430882747915076716493553e-27
f1_quad2d,0.5,1.5,10000,zero_mom,100,last,0.47115253076237452377220203754
f1_quad2d,0.5,1.5,10000,zero_mom,100,cesaro,0.540000024459968241537664458958
f1_quad2d,0.5,1.5,10000,zero_mom,100,pr,0.480708661295258495709286683019
f1_quad2d,0.5,1.5,10000,zero_mom,100,suffix,0.472427287082602043735991472733
f1_quad2d,0.5,1.5,10000,zero_mom,100,best,0.47115253076237452377220203754
f1_quad2d,0.5,1.5,10000,zero_mom,1000,last,0.274496545251675902483103209542
f1_quad2d,0.5,1.5,10000,zero_mom,1000,cesaro,0.373931405348940516082819240989
f1_quad2d,0.5,1.5,10000,zero_mom,1000,pr,0.337010468742375275907629223122
f1_quad2d,0.5,1.5,10000,zero_mom,1000,suffix,0.276981283486034803637522149484
f1_quad2d,0.5,1.5,10000,zero_mom,1000,best,0.274496545251675902483103209542
f1_quad2d,0.5,1.5,10000,zero_mom,10000,last,0.00123677423539436670018606237059
f1_quad2d,0.5,1.5,10000,zero_mom,10000,cesaro,0.0501655617900967750526535864182
f1_quad2d,0.5,1.5,10000,zero_mom,10000,pr,0.0158277661671282132148658778321
f1_quad2d,0.5,1.5,10000,zero_mom,10000,suffix,0.00127417002144146934745424401916
f1_quad2d,0.5,1.5,10000,zero_mom,10000,best,0.00123677423539436670018606237059
f1_quad2d,0.5,2.0,10,zero_mom,100,last,5.35811569208746220101909544045e-30
f1_quad2d,0.5,2.0,10,zero_mom,100,cesaro,0.000336976766983629460510833111449
f1_quad2d,0.5,2.0,10,zero_mom,100,pr,0.000000271627230385536089866530896645
f1_quad2d,0.5,2.0,10,zero_mom,100,suffix,1.08783612251388953997793156063e-29
f1_quad2d,0.5,2.0,10,zero_mom,100,best,6.647230284557469631221154901e-31
f1_quad2d,0.5,2.0,10,zero_mom,1000,last,3.91225168900719708441786924435e-301
f1_quad2d,0.5,2.0,10,zero_mom,1000,cesaro,0.00000343063529876716689903503090316
f1_quad2d,0.5,2.0,10,zero_mom,1000,pr,2.86558172270294419721599806028e-11
f1_quad2d,0.5,2.0,10,zero_mom,1000,suffix,9.32218253715037845061205227381e-295
f1_quad2d,0.5,2.0,10,zero_mom,1000,best,3.91225168900719708441786924435e-301
f1_quad2d,0.5,2.0,10,zero_mom,10000,last,3.67581637897205212913035922823e-3011
f1_quad2d,0.5,2.0,10,zero_mom,10000,cesaro,0.0000000343681260311125171854377405975
f1_quad2d,0.5,2.0,10,zero_mom,10000,pr,2.88108347533937042948668957209e-15
f1_quad2d,0.5,2.0,10,zero_mom,10000,suffix,1.40483743656655464653546818801e-2984
f1_quad2d,0.5,2.0,10,zero_mom,10000,best,3.67581637897205212913035922823e-3011
f1_quad2d,0.5,2.0,100,zero_mom,100,last,0.000107216787325290205148860708839
f1_quad2d,0.5,2.0,100,zero_mom,100,cesaro,0.0301239727683145899206485886546
f1_quad2d,0.5,2.0,100,zero_mom,100,pr,0.00586964696773048269479362420999
f1_quad2d,0.5,2.0,100,zero_mom,100,suffix,0.000159879546655049118370142056359
f1_quad2d,0.5,2.0,100,zero_mom,100,best,0.000107216787325290205148860708839
f1_quad2d,0.5,2.0,100,zero_mom,1000,last,4.26921758332417693094924260586e-38
f1_quad2d,0.5,2.0,100,zero_mom,1000,cesaro,0.000314994695614076233289835455823
f1_quad2d,0.5,2.0,100,zero_mom,1000,pr,0.000000715703497528058980557160589776
f1_quad2d,0.5,2.0,100,zero_mom,1000,suffix,1.77637260792869477667442502449e-37
f1_quad2d,0.5,2.0,100,zero_mom,1000,best,4.26921758332417693094924260586e-38
f1_quad2d,0.5,2.0,100,zero_mom,10000,last,4.27763068466716378220414304923e-372
f1_quad2d,0.5,2.0,100,zero_mom,10000,cesaro,0.00000315561884467487657793564709123
f1_quad2d,0.5,2.0,100,zero_mom,10000,pr,7.19575192581041149633820728954e-11
f1_quad2d,0.5,2.0,100,zero_mom,10000,suffix,1.12229662890736898532624941601e-369
f1_quad2d,0.5,2.0,100,zero_mom,10000,best,4.27763068466716378220414304923e-372
f1_quad2d,0.5,2.0,1000,zero_mom,100,last,0.225404928041969031811486537183
f1_quad2d,0.5,2.0,1000,zero_mom,100,cesaro,0.344744233482356178117211562221
f1_quad2d,0.5,2.0,1000,zero_mom,100,pr,0.297557798628937053437806680525
f1_quad2d,0.5,2.0,1000,zero_mom,100,suffix,0.233749634238998913576223269178
f1_quad2d,0.5,2.0,1000,zero_mom,100,best,0.225404928041969031811486537183
f1_quad2d,0.5,2.0,1000,zero_mom,1000,last,0.000161087414661410100097971047157
f1_quad2d,0.5,2.0,1000,zero_mom,1000,cesaro,0.030118074730335286140709261169
f1_quad2d,0.5,2.0,1000,zero_mom,1000,pr,0.00638818321429552183585434745533
f1_quad2d,0.5,2.0,1000,zero_mom,1000,suffix,0.000181993510152294952881653985737
f1_quad2d,0.5,2.0,1000,zero_mom,1000,best,0.000161087414661410100097971047157
f1_quad2d,0.5,2.0,1000,zero_mom,10000,last,5.59813874353607690424242840685e-36
f1_quad2d,0.5,2.0,1000,zero_mom,10000,cesaro,0.000312749946883123904313393994813
f1_quad2d,0.5,2.0,1000,zero_mom,10000,pr,0.00000077454767772412232872912426524
f1_quad2d,0.5,2.0,1000,zero_mom,10000,suffix,8.45124883562011962955263629699e-36
f1_quad2d,0.5,2.0,1000,zero_mom,10000,best,5.59813874353607690424242840685e-36
f1_quad2d,0.5,2.0,10000,zero_mom,100,last,0.461906036169794490317559362649
f1_quad2d,0.5,2.0,10000,zero_mom,100,cesaro,0.511460262793283088476683569814
f1_quad2d,0.5,2.0,10000,zero_mom,100,pr,0.474446720238510798441824999737
f1_quad2d,0.5,2.0,10000,zero_mom,100,suffix,0.463573509773189629492039088033
f1_quad2d,0.5,2.0,10000,zero_mom,100,best,0.461906036169794490317559362649
