function,beta,etaL,kappa,init,T,iterate_type,fvalue
f1_quad2d,0.9,1.0,100,zero_mom,1000,cesaro,0.0000503991512982521749713761517389
f1_quad2d,0.9,1.0,100,zero_mom,1000,pr,3.56277697925613941776010913905e-10
f1_quad2d,0.9,1.0,100,zero_mom,1000,suffix,3.14731194391807943363916961129e-46
f1_quad2d,0.9,1.0,100,zero_mom,1000,best,1.06479900916340976329253786927e-46
f1_quad2d,0.9,1.0,1000,zero_mom,100,last,0.0688548346036052504801736812697
f1_quad2d,0.9,1.0,1000,zero_mom,100,cesaro,0.222137345773460126254671320724
f1_quad2d,0.9,1.0,1000,zero_mom,100,pr,0.152702237890118021574467849661
f1_quad2d,0.9,1.0,1000,zero_mom,100,suffix,0.0756978641000224087850817211278
f1_quad2d,0.9,1.0,1000,zero_mom,100,best,0.0688548346036052504801736812697
f1_quad2d,0.9,1.0,1000,zero_mom,1000,last,1.21696069529002627995680972846e-10
f1_quad2d,0.9,1.0,1000,zero_mom,1000,cesaro,0.00499486662148288817222192862504
f1_quad2d,0.9,1.0,1000,zero_mom,1000,pr,0.000164576930330325214691042778168
f1_quad2d,0.9,1.0,1000,zero_mom,1000,suffix,1.71950558216634184959492403899e-10
f1_quad2d,0.9,1.0,1000,zero_mom,1000,best,1.21696069529002627995680972846e-10
f1_quad2d,0.9,1.0,10000,zero_mom,100,last,0.425295806352633747920003207338
f1_quad2d,0.9,1.0,10000,zero_mom,100,cesaro,0.465350858299010698683348145644
f1_quad2d,0.9,1.0,10000,zero_mom,100,pr,0.445272171214075589636788638017
f1_quad2d,0.9,1.0,10000,zero_mom,100,suffix,0.424789348563930602837870906833
f1_quad2d,0.9,1.0,10000,zero_mom,100,best,0.425295806352633747920003207338
f1_quad2d,0.9,1.0,10000,zero_mom,1000,last,0.0676057061239288969050053773364
f1_quad2d,0.9,1.0,10000,zero_mom,1000,cesaro,0.20189388571553822137495398697
f1_quad2d,0.9,1.0,10000,zero_mom,1000,pr,0.140608031895648888220157910924
f1_quad2d,0.9,1.0,10000,zero_mom,1000,suffix,0.0696905333014735222814060402978
f1_quad2d,0.9,1.0,10000,zero_mom,1000,best,0.0676057061239288969050053773364
f1_quad2d,0.9,2.0,10,zero_mom,100,last,0.000257335101092971589621684319919
f1_quad2d,0.9,2.0,10,zero_mom,100,cesaro,0.0000140268482876900374040751280437
f1_quad2d,0.9,2.0,10,zero_mom,100,pr,0.000000224981947290353104546952693022
f1_quad2d,0.9,2.0,10,zero_mom,100,suffix,0.00000282947529294744819328762233925
f1_quad2d,0.9,2.0,10,zero_mom,100,best,0.0000222317067697772509937805006901
f1_quad2d,0.9,2.0,10,zero_mom,1000,last,1.73223434515054008821903927763e-45
f1_quad2d,0.9,2.0,10,zero_mom,1000,cesaro,0.000000137225411950686615021085494272
f1_quad2d,0.9,2.0,10,zero_mom,1000,pr,3.98902643615512628534630679e-11
f1_quad2d,0.9,2.0,10,zero_mom,1000,suffix,7.68792121718916886720417912583e-48
f1_quad2d,0.9,2.0,10,zero_mom,1000,best,2.24164227651628903801687597411e-47
f1_quad2d,0.9,2.0,100,zero_mom,100,last,0.00254163675682640867228711222135
f1_quad2d,0.9,2.0,100,zero_mom,100,cesaro,0.0012453410892259221632713811471
f1_quad2d,0.9,2.0,100,zero_mom,100,pr,0.00000645986445469506028551304656648
f1_quad2d,0.9,2.0,100,zero_mom,100,suffix,0.0000248356118672211136386709309386
f1_quad2d,0.9,2.0,100,zero_mom,100,best,0.000229926165714920797752412564035
f1_quad2d,0.9,2.0,100,zero_mom,1000,last,1.74167556633207099253981659961e-44
f1_quad2d,0.9,2.0,100,zero_mom,1000,cesaro,0.0000125997878245630437428443782664
f1_quad2d,0.9,2.0,100,zero_mom,1000,pr,8.35030203363473849748277693754e-10
f1_quad2d,0.9,2.0,100,zero_mom,1000,suffix,1.99186492120013126957058153562e-46
f1_quad2d,0.9,2.0,100,zero_mom,1000,best,1.6605837537207127907105018076e-46
f1_quad2d,0.9,2.0,1000,zero_mom,100,last,0.0305473084850457389391614072807
f1_quad2d,0.9,2.0,1000,zero_mom,100,cesaro,0.104933172601307786208653395702
f1_quad2d,0.9,2.0,1000,zero_mom,100,pr,0.0440058197792528235461876412845
f1_quad2d,0.9,2.0,1000,zero_mom,100,suffix,0.0067214459687588117718803542202
f1_quad2d,0.9,2.0,1000,zero_mom,100,best,0.00770831006555977908462650936068
f1_quad2d,0.9,2.0,1000,zero_mom,1000,last,5.44947915684742730380663516866e-24
f1_quad2d,0.9,2.0,1000,zero_mom,1000,cesaro,0.00124875124874519280708312960931
f1_quad2d,0.9,2.0,1000,zero_mom,1000,pr,0.00000835516082910559062307909982771
f1_quad2d,0.9,2.0,1000,zero_mom,1000,suffix,1.29110190518753834731627728387e-23
f1_quad2d,0.9,2.0,1000,zero_mom,1000,best,5.44947915684742730380663516866e-24
f1_quad2d,0.9,2.0,10000,zero_mom,100,last,0.598624839228658646222239715477
f1_quad2d,0.9,2.0,10000,zero_mom,100,cesaro,0.424569012419100347446971015831
f1_quad2d,0.9,2.0,10000,zero_mom,100,pr,0.396269524343161491401655236482
f1_quad2d,0.9,2.0,10000,zero_mom,100,suffix,0.352188727551552561921480649486
f1_quad2d,0.9,2.0,10000,zero_mom,100,best,0.368778458697430756921292157387
f1_quad2d,0.9,2.0,10000,zero_mom,1000,last,0.00878852942447538041138880625
f1_quad2d,0.9,2.0,10000,zero_mom,1000,cesaro,0.0944626698083984950284106313429
f1_quad2d,0.9,2.0,10000,zero_mom,1000,pr,0.0439139520885848241632905661362
f1_quad2d,0.9,2.0,10000,zero_mom,1000,suffix,0.00934616038975265587109871350129
f1_quad2d,0.9,2.0,10000,zero_mom,1000,best,0.00878852942447538041138880625
f1_quad2d,0.99,1.0,10,zero_mom,100,last,0.328016523462238228326532770997
f1_quad2d,0.99,1.0,10,zero_mom,100,cesaro,0.000196869384431377927050720225635
f1_quad2d,0.99,1.0,10,zero_mom,100,pr,0.000733769671883217334300828626613
f1_quad2d,0.99,1.0,10,zero_mom,100,suffix,0.100968768281110292838800434912
f1_quad2d,0.99,1.0,10,zero_mom,100,best,0.0120145360378050020144653558862
f1_quad2d,0.99,1.0,10,zero_mom,1000,last,0.0000213362023253808797167790894007
f1_quad2d,0.99,1.0,10,zero_mom,1000,cesaro,0.00000000466615000362520553943112040727
f1_quad2d,0.99,1.0,10,zero_mom,1000,pr,0.00000000259063691899802761818450798712
f1_quad2d,0.99,1.0,10,zero_mom,1000,suffix,0.000000797419280666346704803090189985
f1_quad2d,0.99,1.0,10,zero_mom,1000,best,0.000000182884409745823066801710681251
f1_quad2d,0.99,1.0,100,zero_mom,100,last,2.06527638053143069012205797094
f1_quad2d,0.99,1.0,100,zero_mom,100,cesaro,0.00135544915338231160910644851867
f1_quad2d,0.99,1.0,100,zero_mom,100,pr,0.00910669989202496913374389703437
f1_quad2d,0.99,1.0,100,zero_mom,100,suffix,0.873150469894271729574447560148
f1_quad2d,0.99,1.0,100,zero_mom,100,best,0.101080557337232182423262116536
f1_quad2d,0.99,1.0,100,zero_mom,1000,last,0.000198429390539309036733905673819
f1_quad2d,0.99,1.0,100,zero_mom,1000,cesaro,0.000000490949702757413617555805547887
f1_quad2d,0.99,1.0,100,zero_mom,1000,pr,0.0000000368138238318069940882318944323
f1_quad2d,0.99,1.0,100,zero_mom,1000,suffix,0.00000131882026461020888435167536044
f1_quad2d,0.99,1.0,100,zero_mom,1000,best,0.0000461102178336473288710391209284
f1_quad2d,0.99,1.0,1000,zero_mom,100,last,19.5748272614106560683304007022
f1_quad2d,0.99,1.0,1000,zero_mom,100,cesaro,0.0228369748357415107576799355192
f1_quad2d,0.99,1.0,1000,zero_mom,100,pr,0.0597131508145892894331510191369
f1_quad2d,0.99,1.0,1000,zero_mom,100,suffix,7.17984993294605307109582221254
f1_quad2d,0.99,1.0,1000,zero_mom,100,best,0.4990005
f1_quad2d,0.99,1.0,1000,zero_mom,1000,last,0.00181634783295261507655329619423
f1_quad2d,0.99,1.0,1000,zero_mom,1000,cesaro,0.0000492401574622928115938343848558
f1_quad2d,0.99,1.0,1000,zero_mom,1000,pr,0.00000193338794372750875403047781025
f1_quad2d,0.99,1.0,1000,zero_mom,1000,suffix,0.000014265592904532684703606068277
f1_quad2d,0.99,1.0,1000,zero_mom,1000,best,0.000240505972024473744576132674065
f1_quad2d,0.99,1.0,10000,zero_mom,100,last,194.139441541230869132840018111
f1_quad2d,0.99,1.0,10000,zero_mom,100,cesaro,0.487759151985078432139393752572
f1_quad2d,0.99,1.0,10000,zero_mom,100,pr,0.786845603493038261519731472152
f1_quad2d,0.99,1.0,10000,zero_mom,100,suffix,70.2561928286694603477195710315
f1_quad2d,0.99,1.0,10000,zero_mom,100,best,0.499900005
f1_quad2d,0.99,1.0,10000,zero_mom,1000,last,0.0179598190270236692303671199086
f1_quad2d,0.99,1.0,10000,zero_mom,1000,cesaro,0.00506516293734493303337447767323
f1_quad2d,0.99,1.0,10000,zero_mom,1000,pr,0.00000235161886759094218341172080924
f1_quad2d,0.99,1.0,10000,zero_mom,1000,suffix,0.0000139380447049625764593392271377
f1_quad2d,0.99,1.0,10000,zero_mom,1000,best,0.000348249948912927605835985579663
f1_quad2d,0.99,2.0,10,zero_mom,100,last,0.288023008518430416248954600665
f1_quad2d,0.99,2.0,10,zero_mom,100,cesaro,0.000238114820634549051262958589773
f1_quad2d,0.99,2.0,10,zero_mom,100,pr,0.00086620721878250178872372870422
f1_quad2d,0.99,2.0,10,zero_mom,100,suffix,0.0759475232333813156782764894868
f1_quad2d,0.99,2.0,10,zero_mom,100,best,0.288023008518430416248954600665
f1_quad2d,0.99,2.0,10,zero_mom,1000,last,0.000364884296871338430722442180998
f1_quad2d,0.99,2.0,10,zero_mom,1000,cesaro,0.0000000016403823823900103734546353031
f1_quad2d,0.99,2.0,10,zero_mom,1000,pr,5.43789276457817143362456557652e-11
f1_quad2d,0.99,2.0,10,zero_mom,1000,suffix,0.000000357281743076167861823368854398
f1_quad2d,0.99,2.0,10,zero_mom,1000,best,0.00000460635702340269455148894582003
f1_quad2d,0.99,2.0,100,zero_mom,100,last,2.85264271502254090426629362765
f1_quad2d,0.99,2.0,100,zero_mom,100,cesaro,0.00248734204933479620582453526456
f1_quad2d,0.99,2.0,100,zero_mom,100,pr,0.00796587081750279210928241050859
f1_quad2d,0.99,2.0,100,zero_mom,100,suffix,0.648060097052490039732324527691
f1_quad2d,0.99,2.0,100,zero_mom,100,best,2.85264271502254090426629362765
f1_quad2d,0.99,2.0,100,zero_mom,1000,last,0.00343995394093527844559694137767
f1_quad2d,0.99,2.0,100,zero_mom,1000,cesaro,0.000000116262388209369322220786908336
